OBJECTID,Park Name,Drinking Fountain Material,Equipment Description,Life Cycle Code,Drinking Fountain Type,Water Shutoff Location,Accessible Model (AMWO),Dog Bowl (AMWO),Bottle FIller (AMWO),Installation Year (or Date),Current Status (AMWO),Reason Off (AMWO),Reason for Closure (AMWO),Latitude (Point Y) (AMWO),Longitude (Point X) (AMWO),Council District,Park Maintenance District,RSE Index Priority Score,PMA ID,AMWO ID,SE_ANNO_CAD_DATA,Spatial Data Quality Level,GLOBALID,GIS Creator,GIS Create Date,GIS Editor,GIS Editor Date,x,y
14557,Prefontaine Place,STONE,PREFONTAINE PLACE DRINK FOUNT,A,,,,,,,,,,47.60190482,-122.33084332,1,DT PMD7,Highest Equity Priority,326,DRINKF-00105,System.Byte[],QL-D3,16d30ae4-85c9-440e-88d0-10b52a1a8ed8,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1270994.27852829,223151.019981042
14558,Green Lake Park,METAL,GREEN LAKE PARK DRINK FOUNT,A,,,,,,,,,,47.68037163,-122.32604899,6,NW PMD6,Lowest,307,DRINKF-00176,System.Byte[],QL-D3,efd567dd-887e-4f11-9d97-a58e180d8e65,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1272731.98861007,251744.646570325
14559,Ravenna-Eckstein Park,METAL,RAVENNA-ECKSTEIN PARK DRINK FOUNT,A,,,,,,,,,,47.67688039,-122.30448089,4,NE PMD4-5,Lowest,488,DRINKF-00186,System.Byte[],QL-D3,80652574-7022-4dfc-ab57-1b30869064ef,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1278019.63322347,250369.089896917
14560,Counterbalance Park,METAL,COUNTERBALANCE PARK DRINK FOUNT,A,,,,,,,,,,47.62562701,-122.35628358,7,CW PMD7,Middle,4438,DRINKF-00055,System.Byte[],QL-D3,243e5780-8808-4e07-875e-950bdf8b212b,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1264890.43506604,231925.518550023
14561,Maple Wood Playfield,METAL,MAPLE WOOD PLYFLD DRINK FOUNT,A,,,,,,,,,,47.55964645,-122.31823906,2,SC PMD2,Second Highest,418,DRINKF-00067,System.Byte[],QL-D3,ed861194-71c8-4453-922b-0a63465ccb62,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1273805.84147516,207679.264893204
14562,,METAL,W MAGNOLIA PLYFLD DRINK FOUNT,A,,,,,,,,,,47.64501651,-122.39888604,6,CW PMD7,Second Lowest,,DRINKF-00042,System.Byte[],QL-D3,bb3fed6e-aabc-4af2-9412-d0f3f9ecfe3a,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1254530.90097544,239207.468189493
14563,Volunteer Park,METAL,VOLUNTEER PARK DRINK FOUNT,A,,,,,,,,,,47.63030751,-122.31727235,3,CE PMD3,Lowest,399,DRINKF-00111,System.Byte[],QL-D3,a0796751-ba0f-43e4-aedf-e1d230f63402,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1274541.46169992,233444.559447587
14564,Plymouth Pillars Park,METAL,PLYMOUTH PILLARS PARK DRINK FOUNT,A,,,,,,,,,,47.61463868,-122.32883641,3,DT PMD7,Second Highest,4000,DRINKF-00102,System.Byte[],QL-D3,0637604c-2c5e-49f8-817f-6511d1e81362,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1271579.56115289,227785.384081796
14565,Meadowbrook Playfield,METAL,MEADOWBROOK PLYFLD DRINK FOUNT,A,,,,,,,,,,47.70658026,-122.29275806,5,NE PMD4-5,Second Highest,352,DRINKF-00038,System.Byte[],QL-D3,95d4d107-8017-455a-8100-b762bfefbb15,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1281112.48199464,261145.665139958
14566,Green Lake Park,METAL,GREEN LAKE PARK DRINK FOUNT,A,,,,,,,,,,47.6853424,-122.33657792,6,NW PMD6,Lowest,307,DRINKF-00120,System.Byte[],QL-D3,f46b5096-9b26-48a6-bb58-a020474d2d1e,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,SeattleParks_SeattleCityGIS,6/16/2026 4:47:16 PM,1270174.25420745,253607.95089224
